Altair	견우성	牽牛星
avenge	복수하다	復讐
avenue	가로	街路
avocation	여기	餘技
avoid	회피하다	回避
awakening	각성	覺醒
award	수여하다	授與
award	재정하다	裁定
axiom	공리	公理
axle	차축	車軸
backbone	기골	氣骨
background	배경	背景
backing	지원	支援
backstroke	배영	背泳
backwoods	오지	奧地
badge	기장	記章
badness	불량	不良
bail	보석	保釋
baking soda	중조	重曹
balance	균형	均衡
ball cartridge	실탄	實彈
balloon	기구	氣球
balm	향유	香油
balsam	봉선화	鳳仙花
ban	금지하다	禁止
ban	금제	禁制
ban	금제	禁制
bandage	붕대	繃帶
bandit	산적	山賊
banishment	추방	追放
bank	제방	堤防
bank	은행	銀行
bank	은행	銀行
bankruptcy	파산	破産
bankruptcy	파탄	破綻
banner	기치	旗幟
banquet	연회	宴會
baptism	세례	洗禮
barometer	청우계	晴雨計
baron	남작	男爵
barrack	병영	兵營
barrage	탄막	彈幕
barrier	관문	關門
barrier	장벽	障壁
basalt	현무암	玄武岩
base	기지	基地
base running	주루	走壘
baseball	야구	野球
basement	지하실	地下室
basement	지계	地階
basic	근본적인	根本的
basis	기초	基礎
basis	근거	根據
basketball	농구	籠球
bathing	목욕	沐浴
bathroom	욕실	浴室
bathtub	욕조	浴槽
battery	전지	電池
battle	전투	戰鬪
battle array	진용	陣容
battlefield	전장	戰場
battleship	전함	戰艦
bayonet	총검	銃劍
bayonet	총검	銃劍
beach	해변	海邊
beachhead	교두보	橋頭堡
beacon	봉화	烽火
beam	광선	光線
beatitude	지복	至福
beaver	해리	海狸
bed	침대	寢臺
bedding	침구	寢具
bedpan	변기	便器
bedrock	암상	岩床
bedroom	침실	寢室
beer	맥주	麥酒
beetle	갑충	甲蟲
beginner	초심자	初心者
beginning	개시	開始
beginning	발단	發端
behave	행동하다	行動
being	생존	生存
belfry	종루	鐘樓
belief	신념	信念
belief	신앙	信仰
belief	신용	信用
believer	신자	信者
bell tower	종루	鐘樓
benefactor	은인	恩人
beneficial	유익	有益
benefit	은혜	恩惠
benzoin	안식향	安息香
benzoin	안식향	安息香
bequest	유증	遺贈
bequest	유산	遺産
bereavement	사별	死別
beriberi	각기	脚氣
bespeak	주문하다	注文
bestiality	수간	獸姦
betoken	예시하다	豫示
betrayal	배신	背信
betterment	개선	改善
bewitch	매혹하다	魅惑
bicycle	자전거	自轉車
bid	입찰하다	入札
bidding	입찰	入札
bigamist	중혼자	重婚者
bigamy	중혼	重婚
bigamy	중혼	重婚
bile	담즙	膽汁
billiards	당구	撞球
bimetallism	복본위제	複本位制
binding	속박	束縛
binding	속박하는	束縛
biochemistry	생화학	生化學
biography	전기	傳記
biology	생물학	生物學
biplane	복엽	複葉
birth	출생	出生
birth	탄생	誕生
birth	출산	出産
bivouac	야영하다	野營
black tea	홍차	紅茶
blast furnace	고로	高爐
blasting	발파	發破
blaze	화염	火炎
bleaching	표백	漂白
blessedness	행복	幸福
blessing	축복	祝福
blind spot	맹점	盲点盲點
blinking	명멸하는	明滅
blockade	봉쇄	封鎖
blood	혈액	血液
blood cell	혈구	血球
blood clot	혈괴	血塊
blood poisoning	패혈증	敗血症
blood pressure	혈압	血壓
blood vessel	혈관	血管
bloodshed	유혈	流血流血
bloodsucker	흡혈귀	吸血鬼
blot	오점	汚点汚點
blowpipe	취관	吹管
blueprint	청사진	靑寫眞
blueprint	청사진	靑寫眞
boiling	비등	沸騰
boiling	비등하는	沸騰
bomb	폭탄	爆彈
bomb	폭탄	爆彈
bond	증서	證書
book burning	분서	焚書
book review	서평	書評
booking	예약	豫約
bookkeeping	부기	簿記
bookshelf	서가	書架
booth	노점	露店
booty	전리품	戰利品
boredom	권태	倦怠
borrowing	차용	借用
botany	식물학	植物學
bottleneck	애로	隘路
bound	한계	限界
bound	한계	限界
boundary	경계	境界
boxing	권투	拳鬪
boy	소년	少年
boycott	배척하다	排斥
brace	지주	支柱
brain	두뇌	頭腦
brain wave	뇌파	腦波
brainwashing	세뇌	洗腦
branch	분파	分派
branch	지류	支流
branch	지맥	支脈
brand	낙인	烙印
bravery	용감	勇敢
breach	위반	違反
breach	절교	絶交
breakdown	쇠약	衰弱
breakfast	조반	朝飯
breakup	해산	解散
breakwater	방파제	防波堤
breast	흉부	胸部
breast	유방	乳房
breastwork	흉벽	胸壁
breath	호흡	呼吸
breathe	휴식하다	休息
breeding	사육	飼育
brethren	동포	同胞
brevity	간결	簡潔
bribery	증수회	贈收賄
bride	신부	新婦
bridge	함교	艦橋
bridgehead	교두보	橋頭堡
brigade	여단	旅團
brigand	산적	山賊
brilliance	광채	光彩
bristle	강모	剛毛
broad bean	잠두	蠶豆
broadcast	방송하다	放送
broadcast	방송	放送
broadcasting	방송	放送
brokerage	구전	口錢
bronze	청동	靑銅
brown coal	갈탄	褐炭
brutality	만행	蠻行
budget	예산	豫算
building	건물	建物
bulb	구근	球根
buoyancy	부력	浮力
burden	부담	負擔
bureaucrat	관료	官僚
burial	매장	埋葬
business	실업	實業
business	영업	營業
business	사업	事業
business	용건	用件
bust	상반신	上半身
butler	집사	執事
butler	집사	執事
buy	매수하다	買收
byproduct	부산물	副産物
bystander	방관자	傍觀者
cabal	도당	徒黨
cabin	선실	船室
cactus	선인장	仙人掌
calamity	재난	災難
calcite	방해석	方解石
calculating	타산적인	打算的
calculation	타산	打算
calculus	결석	結石
call	방문하다	訪問
calligraphy	서법	書法
calling	천직	天職
calm	무풍	無風
calm	평온	平穩
calm	냉정	冷靜
calumniate	비방하다	誹謗
camel	낙타	駱駝
camouflage	위장	僞裝
camouflage	미채	迷彩
camouflage	위장하다	僞裝
camp	막사	幕舍
campaign	종군	從軍
campaign	종군하다	從軍
camphor	장뇌	樟腦
camping	야영	野營
campus	교정	校庭
campus	구내	構內
campus	학원	學園
canal	운하	運河
canal	운하	運河
candlepower	촉광	燭光
canopy	천개	天蓋
cant	은어	隱語
capacity	용적	容積
capacity	용량	容量
capacity	역량	力量
capital	원금	元金
capital punishment	사형	死刑
capital punishment	극형	極刑
capitalist	자본가	資本家
captain	정장	艇長
captivation	매혹	魅惑
captor	체포자	逮捕者
capture	포획하다	捕獲
capture	포획	捕獲
capture	점령	占領
car wash	세차	洗車
carapace	갑각	甲殼
carbohydrate	탄수화물	炭水化物
carbolic acid	석탄산	石炭酸
carbon monoxide	일산화탄소	一酸化炭素
carbonic acid	탄산	炭酸
carbonization	탄화	炭化
carcinogenesis	발암	發癌
cardboard	판지	板紙
care	보호	保護
carelessness	부주의	不注意
caress	애무하다	愛撫
cargo	선하	船荷
cargo	화물	貨物
caries	충치	蟲齒
carol	송가	頌歌
carpet	융단	絨緞
carriage	운반	運搬
carrier	보균자	保菌者
carrier pigeon	전서구	傳書鳩
carrying	적재	積載
cartilage	연골	軟骨
carving	조각	彫刻
case	사건	事件
casein	건락소	乾酪素
cash	현금	現金
cast iron	주철	鑄鐵
cast steel	주강	鑄鋼
casting	주조	鑄造
casting	주물	鑄物
castration	거세	去勢
casualty	부상자	負傷者
catalyst	촉매	觸媒
catapult	발사하다	發射
catch	포구	捕球
catchword	표어	標語
category	범주	範疇
category	종류	種類
category	부문	部門
cater	조달하다	調達
caterpillar	모충	毛蟲
catgut	장선	腸線
cause	원인	原因
caution	주의	注意
cave	동굴	洞窟
cavity	공동	空洞
celebration	축하	祝賀
celebration	축전	祝典
celebrity	명사	名士
celestial sphere	천구	天球
celibate	독신자	獨身
cell division	세포분열	細胞分裂
centrifugal force	원심력	遠心力
centrifugal machine	원심분리기	遠心分離機
century plant	용설란	龍舌蘭
ceramics	도예	陶藝
ceramics	요업	窯業
cerebellum	소뇌	小腦
cerebral anemia	뇌빈혈	腦貧血
cerebrospinal fluid	뇌척수액	腦脊髓液
cerebrospinal meningitis	뇌척수막염	腦脊髓膜炎
cerebrum	대뇌	大腦
ceremonial	의식적인	儀式
ceremony	식전	式典
ceremony	의식	儀式
cessation	휴지	休止
chain	연쇄	連鎖
chain	연쇄	連鎖
chain store	연쇄점	連鎖店
chair	의자	椅子
chair	강좌	講座
chairman	의장	議長
chairman	회장	會長
challenge	도전하다	挑戰
challenge	도전하다	挑戰
challenger	도전자	挑戰者
chamberlain	시종	侍從
chance	기회	機會
chance	호기	好機
chance	계기	契機
chance	우연	偶然
change	변화하다	變化
change	변화	變化
change	변천	變遷
change	교체	交替
channel	수로	水路
channel	해협	海峽
chant	성가	聖歌
chaos	무질서	無秩序
chapter	분회	分會
character	기질	氣質
character	품성	品性
character	인격	人格
character	인물	人物
character	문자	文字
character	문자	文字
character	인물	人物
characteristic	특질	特質
characteristic	특성	特性
characteristic	특색	特色
charcoal	목탄	木炭
charge	고발하다	告發
charge	돌진하다	突進
charge	전하	電荷
charge	담당	擔當
charge	대가	代價
charge	요금	料金
charge	부담	負擔
charge	돌진	突進
charity	자비	慈悲
charity	박애	博愛
charm	매력	魅力
charm	마력	魔力
charm	주문	呪文
charm	매혹하다	魅惑
chart	도표	圖表
chase	추적하다	追跡
chastisement	응징	膺懲
chastity	순결	純潔
chastity	정숙	貞淑
check	조사하다	照査
check	확인하다	確認
check	저지	沮止
check	방지	防止
check	저지하다	沮止
check	조사하다	照査
chemist	화학자	化學者
chemistry	화학	化學
chest	흉곽	胸郭
chicken pox	수두	水痘
chief	장관	長官
chief	두목	頭目
chilblain	동상	凍傷
child	유아	幼兒
childhood	유년	幼年
chill	냉기	冷氣
chill	한기	寒氣
chill	오한	惡寒
china	자기	磁器
choice	선택권	選擇權
chorus	합창	合唱
chorus	합창하다	合唱
chroma	채도	彩度
chronology	연표	年表
chrysanthemum	국화	菊花
cinnamon	계피	桂皮
circle	원진	圓陣
circuit	회선	回線
circular	회보	回報
circulation	순환	循環
circulation	유포	流布
circumcenter	외심	外心
circumcision	할례	割禮
circumference	원주	圓周
circumference	주변	周邊
circumference	주위	周圍
cirrocumulus	권적운	卷積雲
citation	인용	引用
cite	소환하다	召喚
citizen	국민	國民
citizen	시민	市民
citizen	주민	住民
city	도회	都會
city council	시의회	市議會
civil law	민법	民法
civil rights	민권	民權
civil war	내란	內亂
civil war	내전	內戰
civilian	비전투원	非戰鬪員
civilization	개화	開化
civilization	문명	文明
claim	청구	請求
claimant	요구자	要求者
clairvoyance	투시	透視
clairvoyance	천리안	千里眼
clan	일문	一門
clan	벌족	閥族
class	부류	部類
classic	고전적인	古典
classic	고전	古典
classic	고전	古典
classification	종별	種別
classmate	급우	級友
clay	점토	粘土
cleaning	청소	淸掃
cleanup	정화	淨化
clerk	서기	書記
clerk	점원	店員
cliff	절벽	絶壁
climax	절정	絶頂
climax	극점	極点極點
climb	등반하다	登攀
climb	상승하다	上昇
climb	등귀하다	騰貴
climb	등반하다	登攀
climbing	상승하는	上昇
clinch	포옹하다	抱擁
clitoris	음핵	陰核
close	완료하다	完了
close	체결하다	締結
close	종결	終結
closed circuit	폐회로	閉回路
closing	폐쇄	閉鎖
closure	폐쇄	閉鎖
closure	폐쇄	閉鎖
clothes	의복	衣服
clothing	의류	衣類
club	곤봉	棍棒
clutter	난잡	亂雜
coal	석탄	石炭
coal mine	탄광	炭鑛
coal mine	탄갱	炭坑
coal mining	채탄	採炭
coal seam	탄층	炭層
coalesce	합체하다	合體
coalfield	탄전	炭田
coalition	연립	聯立
coast	연안	沿岸
coast	해안	海岸
coastline	해안선	海岸線
coccus	구균	球菌
code	암호	暗號
code	약호	略號
code	암호	暗號
codification	성문화	成文化
coeditor	공편자	共編者
cognizance	인식	認識
cohabitation	동서	同棲
coin	경화	硬貨
coincidence	부합	符合
cold	냉기	冷氣
cold war	냉전	冷戰
cold wave	한파	寒波
collaboration	협동	協同
collaboration	합작	合作
collaboration	공저	共著
collar	체포하다	逮捕
collarbone	쇄골	鎖骨
collection	수집	收集
collective	집합적인	集合的
collision	충돌	衝突
collusion	결탁	結託
collusion	통모	通謀
colon	결장	結腸
colony	식민지	植民地
colorant	안료	顔料
column	원주	圓柱
column	종대	縱隊
column	종진	縱陣
combat	전투	戰鬪
combination	결합	結合
combination	배합	配合
combination	단결	團結
combination	연합	聯合
combine	결합하다	結合
combustibility	가연성	可燃性
combustible	가연물	可燃物
combustion	연소	燃燒
comeback	복귀	復歸
comedy	희극	喜劇
comet	혜성	彗星
comfort	위안하다	慰安
comforter	위안자	慰安者
command	명령하다	命令
command	지휘하다	指揮
command	명령	命令
command	지휘	指揮
commemoration	기념	記念
commence	개시하다	開始
commencement	개시	開始
comment	주석하다	註釋
commentary	주석	註釋
commerce	상업	商業
commerce	통상	通商
commerce	교역	交易
commercial	영리적인	營利的
commercial law	상법	商法
commiserate	동정하다	同情
commiserate	동정하다	同情
commission	임명	任命
commission	직권	職權
commission	수수료	手數料
commission	구전	口錢
commission	위임하다	委任
commissioned officer	장교	將校
commit	위탁하다	委託
commitment	언질	言質
commodity	상품	商品
commodore	준장	准將
common denominator	공분모	公分母
common multiple	공배수	公倍數
common sense	상식	常識
commoner	평민	平民
commonness	공통	共通
commonwealth	연방	連邦
commotion	동요	動搖
communication	전달	傳達
communication	통신	通信
communication	연락	聯絡
communication	연락	聯絡
communism	공산주의	共産主義
commute	교환하다	交換
compact	계약	契約
companion	반려	伴侶
companion	동반자	同伴者
company	교제	交際
company	동반	同伴
company	회사	會社
company	상회	商會
company officer	위관	尉官
comparison	비교	比較
comparison	대조	對照
comparison	비교	比較
compassion	동정심	同情心
compatriot	동포	同胞
compensation	배상	賠償
competition	경쟁	競爭
competition	경쟁자	競爭者
competitor	경쟁자	競爭者
compilation	편집	編輯
complaint	불평	不平
complaint	고소	告訴
complementary angle	여각	餘角
complete	완성하다	完成
completion	완성	完成
completion	완료	完了
complex	복합	複合
compliance	추종	追從
complication	여병	餘病
complicity	공모	共謀
complicity	공범	共犯
complicity	연루	連累
composition	구성	構成
composition	합성	合成
composition	조판	組版
composition	합성	合成
composition	구도	構圖
compost	퇴비	堆肥
composure	침착	沈着
compound	화합물	化合物
compound	합성하다	合成
compound interest	복리	複利
compound leaf	복엽	複葉
comprehension	이해	理解
comprehension	포함	包含
comprehension	내포	內包
comprehensive	포괄적인	包括的
compromise	타협	妥協
compromise	화해	和解
compromise	타협하다	妥協
compromise	화해하다	和解
compulsory	의무적인	義務的
computer	계산기	計算機
comrade	동지	同志
comrade	동지	同志
concavity	요면	凹面
concealment	은폐	隱蔽
concealment	은닉	隱匿
concealment	잠복	潛伏
concentration	집중	集中
concept	개념	槪念
conception	구상	構想
conception	수태	受胎
concern	관심	關心
concern	배려	配慮
concert	합주	合奏
concerto	협주곡	協奏曲
concession	이권	利權
concession	조계	租界
concha	외이	外耳
conciliation	회유	懷柔
conclusion	결말	結末
conclusion	종국	終局
conclusion	결론	結論
conclusion	귀결	歸結
concord	화합	和合
condensation	응축	凝縮
condensed milk	연유	煉乳
condiment	조미료	調味料
condolence	애도	哀悼
conduct	행동하다	行動
conduction	전도	傳導
conductor	지휘자	指揮者
confederate	공모자	共謀者
confederation	연방	聯邦
conference	협의	協議
conference	회의	會議
confession	자백	自白
confession	고백	告白
confession	고백	告白
confide	신임하다	信任
confide	신탁하다	信託
confidence	신임	信任
confidence	신용	信用
confidence	확신	確信
confinement	유폐	幽閉
confinement	감금	監禁
confirmation	확인	確認
confiscation	압수	押收
conflict	투쟁	鬪爭
conflict	충돌하다	衝突
conformity	일치	一致
confrontation	직면	直面
confrontation	대립	對立
confusion	혼동	混同
confusion	혼란	混亂
confusion	혼미	昏迷
congenital	선천적인	先天的
congratulation	축하	祝賀
congratulation	경하	慶賀
congregation	회중	會衆
congress	의회	議會
conjecture	추측	推測
conjecture	추측하다	推測
conjecture	억측하다	臆測
conjunctivitis	결막염	結膜炎
connotation	함축	含蓄
connotation	내포	內包
conquest	정복	征服
conscience	양심	良心
consciousness	의식	意識
consecration	봉헌	奉獻
consecutive	연속적인	連續
consent	동의하다	同意
consent	승낙하다	承諾
consent	동의	同意
consent	승낙	承諾
consent	동의자	同意
consequence	결과	結果
conservation	보존	保存
consideration	고려	顧慮
consideration	고찰	考察
consign	위임하다	委任
consignment	탁송	託送
consolation	위자	慰藉
consonant	자음	子音
consonant	자음자	子音
conspiracy	음모	陰謀
conspiracy	모의	謀議
conspirator	공모자	共謀者
constancy	절조	節操
constant	상수	常數
constellation	성좌	星座
constitution	체격	體格
constitution	헌법	憲法
constitution	정체	政體
constriction	수축	收縮
construction	건조	建造
construction	건설	建設
construction	건축	建築
construction	축조	築造
construction	구조	構造
constructive	건설적인	建設的
consul	영사	領事
consulate	영사관	領事館
consultation	상담	相談
consultation	협의	協議
consultation	참조	參照
consumer	소비자	消費者
consumption	소비	消費
contact	접촉	接觸
contact	접촉	接觸
contact	접촉	接觸
contact	접촉	接觸
contain	견제하다	牽制
container	용기	容器
contamination	오염	汚染
contempt	멸시	蔑視
contempt	모욕	侮辱
contempt	모멸	侮蔑
content	내용	內容
content	내용	內容
content	내용	內容
contention	주장	主張
contest	경쟁	競爭
contest	경기	競技
contest	경쟁하다	競爭
context	문맥	文脈
continent	대륙	大陸
continental shelf	대륙붕	大陸棚
continuance	존속	存續
continuation	계속	繼續
continuation	계속	繼續
continuation	계속	繼續
continuation	지속	持續
continuing	연속적인	連續
contract	약정	約定
contract	계약하다	契約
contraction	수축	收縮
contraction	위축	萎縮
contradiction	모순	矛盾
contradiction	당착	撞着
contrast	대조	對照
contrast	대조하다	對照
contribution	기부	寄附
contribution	공헌	貢獻
contribution	투고	投稿
contrive	고안하다	考案
contrive	획책하다	劃策
contrive	고안하다	考案
contrive	획책하다	劃策
control	지배	支配
control	관리	管理
control	제어	制御
control	제어	制御
control	지배하다	支配
control	감독하다	監督
control	관리하다	管理
controversialist	논객	論客
controversialist	논쟁자	論爭者
controversy	논쟁	論爭
