다북쑥속의 식물	オウシュウヨモギ
부 명제	補題
신경전달물질	神経伝達物質
시인의	詩人の,詩的な
수하하는 사람	挑戦者
오럴 섹스	口内性交,shakuhachi,オーラルセックス
산재하는	散発的
상호작용	対応
나침반	方位磁針
고령토	カオリナイト
수평적 통합	水平統合
필적하다	競争する,争う,張り合う
세계 열강	スーパーパワー
인종 혼합의	交じった,混合した
곤란한	大事な,難しい
시끈가오리	魚雷
괴깔의	ふかふかした,ほっこり
스칼렛	くれない,朱,あか,緋色,丹朱
티그리스강	チグリス川
카시오페이아자리	カシオペア座
스칸듐	スカンジウム
토끼풀	クローバー
쉬하다	小便をする,おしっこをする
종교적인	1. seinaru 2. 敬虔,宗教にかこつけた,信心深い,敬虔な
논다니	売春婦,娼婦,パンスケ,ばいしゅん,させ子,売女,街娼
투명 도안	透明性
아드보카트	アドヴォカート
종교재판	異端審問
고릴라	ゴリラ
게시판	掲示板
사로잡힘	妄想
가림없는 물건	裸体像
시장 가격	実勢価格,相場
입체 음향의	ステレオ
직역주의	写実主義
실어증	失語症
검약가	エコノミスト,経済学者
일부 일처의	一夫一婦
국외 의존의	戦略的な
네모꼴	長方形,ちょうほうけい
공명히	正直に
돌발적인	散発的
국경일	国民の祝日,祭日,建国記念日,祝日,休日,祝祭日
과도하게	1. 無理に,あまりに 2. 過ぎ,過剰に,あまりに
고속차 전용 도로	高速道路
그리스도	イエス・キリスト,みこ,イエスキリスト,キリスト
시죄법	神明裁判
리우데자네이루	リオデジャネイロ市,リオデジャネイロ
일부 일처제	一夫一婦制
공민권	人民,市民,国民,公民,民衆,臣民,民
관모구	たんぽぽ
아밀라제	アミラーゼ,amirāze
텍사스	テキサス,テキサス州
선례가 없는	未曾有
아메리칸사모아	アメリカン・サモア,アメリカ領サモア
정확한 중심	真中
식중독	食中毒
비례하여	比較的,比較的に
스컹크	スカンク
몰샐 틈 없는	気密,密閉
공부벌레	ひとりよがりの
기니아픽	アグーチ
오르가슴	ōgazumu,オルガスム,オーガズム,オルガスムス
그릇읽다	勘違い,誤解
실제로	実は,実際には
경식당	茶室,喫茶店
탄탈룸	タンタル
상대주의의	相対論的
심연의	極端な
시적인	詩人の,詩的な
작전 연구	オペレーションズ・リサーチ
노래하는 사람	歌手
올림피아 경기	オリンピック,近代オリンピック,オリンピック競技大会
~의 목을 베다	打ち首にする
공배수	最小公倍数
폴터가이스트	ポルターガイスト現象
우주생물학	宇宙生物学
3박자의 느린 춤	メヌエット
낙천가	rakuten,らくてん,楽天
심장병	心臓病,循環器疾患
운전 면허증	運転免許証,運転免許
심전도	心電図,しんでんず
거처방	茶の間,ima,居間,いま,リビング
항아리 손님	流行性耳下腺炎,おたふく風邪
중화인민공화국	中華人民共和国,中国
거인 같은	巨大な,きょだいな,kyodaina
녹내장	緑内障
후허하오터	フフホト
싸우다	戦う
판첸라마	パンチェン・ラマ
카사블랑카	カサブランカ
십이월	師走,じゅうにがつ,十二月,12月
십일월	十一月,１１月,じゅういちがつ,霜月,11月
스탈린	スターリン
손가락관절	指関節
투명 무늬	透明性
무력 정변	乗っ取り,謀叛
유채과의 야채	クレソン,コショウソウ
민간전승	でんせつ
공산주의적인	共産
동시에 일어나다	一致する
과묵한	寡黙,無口
스키술	スキー
십자가	十字架像
구급차	救急車
시대 착오	時代錯誤の
실제상	1. 有効に 2. 有効に
신조어	1. 新語 2. 新造語,新語,造語
녹나무	クスノキ
그리스어	1. ギリシア人,ギリシア語,ギリシャ人 2. ギリシア語
사용하기 거북한	不器用な,ぎごちない
스코페	スコピエ
승낙하다	同意する
공복의	お腹の空いていた,空腹な,飢えた
여정기록	日誌,自動車登録台帳
펄형 활자	梨,梨の実
십자말	クロスワードパズル
건초밭	草原
남작들	かぞく
충양돌기절제술	盲腸炎手術
투르크멘어	トルクメン語
간호원	看護士
먹어치우다	破壊する
요령 없는	頭が悪い
군중 공포증	広場恐怖症
견습공	実習生
스타킹	ストッキング
실지의	実用的,経験豊かな,実際的,実践的,実務経験のある,実践的な
장님거미	ザトウムシ,盲蜘蛛,足長おじさん,座頭虫
실직안	失業者,しつぎょうしゃ
신병모집	chōshū,ちょうしゅう,徴集
세포소기관	細胞小器官
강하게	必ず,確かに,きっと
게우다	1. 嘔吐する,嘔吐,吐く 2. 吐く
박트리아 낙타	フタコブラクダ
거짓말	1. お伽話,おとぎ話,メルヘン,童話 2. 嘘,きょげん,虚言,うそ 3. 無意味
캔자스시티	1. カンザスシティ 2. カンザスシティ
건조한	喉が乾いた
스토브	1. ストーブ 2. ストーブ 3. レンジ,オーブン,ストーブ 4. 焜炉,コンロ,ストーブ
실질상	中々,実質的に,なかなか
나중에	それ,それから,その後,後で
스타일	すい
탈취제	デオドラント
겁쟁이	腰抜け,臆病者
템버린	タンブリン,タンバリン
눈에 보이게 함	映像化,可視化
레이스용 요트	ボート,船,ゆうらんせん,ヨット
반대심문	反対尋問
고발의	批難,非難
공리설	功利主義,実利主義
난쟁이	1. ピグミー 2. ドワーフ
계산기	計算者,計算表,計算機,電卓,dentaku,コンピュータ
봉건 제도	封建制度,封建制
은행나무	銀杏,公孫樹
고깃국물	グレービー
일년 내내	いつも
곧바로	すぐ,直接,すぐに,たちまち,直ちに,+ に +ni,直ぐに
부유 생물	プランクトン,浮遊生物
신중히	じっくり,丹念に
심장학	心臓学,心臓病学,循環器学
신중한	慎重
매매각서	忘備録,メモ
계산된	作為的な,意識的な
경상체	光学異性体
남정석	藍晶石
부검검시	検死
일회 분량	水薬
形容詞	けいようし,形容動詞,形容詞,keiyōshi
이교도의 신앙	ペイガニズム
게자리	かに座
남조선	韓國,韓国,大韓民国
탄탈럼	タンタル
루손섬	ルソン島
농구공	バスケ,バスケットボール
파키스탄의	パキスタンの
윤곽이 뚜렷한	ビクビク
민족적 우월감	人種差別
위안을 주는	こころづよい,心強い
스패너	スパナ,レンチ
산사나무	サンザシ
공교롭게도	ainiku,残念,生憎
그레이하운드	グレーハウンド
남자의	男性名詞,男性,男性的な,男の,男性の
계산일	聖名祝日
턱시도	タキシード
국가의	政治上の,政治的な
게이샤	芸者,芸妓,芸子
우연히도	ふと,無意識的に
달마티아 개	ダルメシアン
벌칙을 적용하다	懲罰する,ばっする,制裁する
백만장자	1. だいふごう,大富豪,ひゃくまんちょうじゃ,百万長者 2. だいふごう,大富豪,ひゃくまんちょうじゃ,百万長者
단궤철도	モノレール
경쾌한 춤	タランテラ
실직한	失業者
고분자	高分子
운수 나쁘게	ainiku,残念,生憎
관리인	保護者,係員
입을 꼭 다문	口堅い,口が堅い
관리자	学芸員
폭소하다	叫ぶ
음절 문자	音節文字
괴로운	痛い,いたい,苦しい
고수풀	コリアンダー
남학생	しょうがくせい,小学生
견주자	subesube,すべすべ
결정학	結晶学
트랜스폰더	トランスポンダ
히말라야	ヒマラヤ
타악기	だがっき,打楽器,dagakki,パーカッション
결정자	限定詞
표를만들다	計画,議事,日程
신에게 버림받은	砂漠
벌레구멍	ワームホール
미혹케 하는	欺瞞的な
냄새나는	くさい,臭い
민족청소	民族清掃,民族浄化
신참자	初心者
곱사등	傴僂
마누라	家内,fujin,妻,女子,つま,okusan,奥さん
감실에 모시다	聖骨箱
실체경	実体鏡
스페인	スペイン,Supein,supein,西班牙
나팔수선화	ラッパズイセン
견적인	計算機
믿기쉬운	あどけない
입국관리	nyūshoku,いにゅう,にゅうしょく,入植,イミグレーション,移民
걸치어	1. にまたがって,足を広げて 2. 足を広げて
경영자	所有者,経営者,持ち主
철회할수 없는	不可逆な
디젤 엔진	ディーゼル燃料,軽油,ディーゼルエンジン,ディーゼル
노벨륨	ノーベリウム
십이지장충	こうちゅう
시청사	市役所
보온카버	コゼー
계엄령	戒厳令
지치게 하는	退屈な
실체론	オントロジー,存在論
경쟁자	挑戦者
침 치료	鍼治,鍼,鍼治療,鍼術,漢方
밀통;창녀	淫売,売春,baishun,買春,切り売り主義
의문부호	疑問符,？
공상의	人工的な,人工の,人為的な
은거하는 곳	ていねんたいしょく
권위있는	権威のある
수니파 교도	スンニ派,スンナ派,スンニ,スンニー派
오스트리아	墺太利,オーストリー,オーストリア
종묘원 주인	庭師
구더기	ウジ
캐스터네츠	カスタネット,シンバル
볼고그라드	ヴォルゴグラード
경작지	エーカー
근대 그리스러	現代ギリシア語
담의 재료	けんじゅつ
시카고	シカゴ
시골사람	農家
고시판	掲示板
10년간	十年
마나마	マナーマ
앨버트공	アルベルト,アルバート
소택이 많은	浸水した
콜라 반도	コラ半島
화이트 하우스	ホワイトハウス
계속적으로	絶え間なく,いつも
미국 영어	米英語,アメリカ英語,米語
말레이 사람	マレーシア人,マレー語
정밀검사	調査,点検
두목 행세하는	うるさい
12각형	十二角形
탐색자	実験者
해석가능성	溶解性
논리성	論理学
샤르트르	シャルトル
훌륭하게	心地よく
슬퍼할	悲しい
주정 수준기	精神レベル
키우다	飼う,食べさせる
주교 관구	教区
성장 호르몬	成長ホルモン
거취조	ムネオオハシ
큰천막	パビリオン
동시에 하게 하다	同調
고산병	高山病
퇴화 기관	なごり,痕跡,足跡
신축성	だんせい,弾性,柔軟性,弾力性
광막한	莫大な,dekai,dekkai,莫大,でかい,広大,でっかい,広大な,大きい,巨大
11각형	十一角形
고생대	古生代
예의 범절	順当,正則
신칸센	新幹線
막대한	莫大な,dekai,dekkai,莫大,でかい,広大,でっかい,広大な,大きい,巨大
공부자	孔子,fūshi,孔夫子,夫子,ふうし
승도복숭아	ネクタリン
낯을 붉히어	恥じている,恥ずかしい
창조적임	創造性,創造力
건초열	花粉症
오스만 터키어	オスマン語
딱딱하고 거북한	mushiatsui,蒸し暑い,むしあつい
거칠게	ぐらい,先ず,およそ,約
맹금류	もうちょう,猛禽
새끼 손가락	こゆび,小指
부비강염	副鼻腔炎
키예프	キエフ
낙하산	落下傘
강산화성 물질	オキシダント,酸化剤
과민한	アレルギー性の
서사모아의 수도	アピア
공부방	kyōshitsu,きょうしつ,教室
민족지학	民族誌
검찰관	検察,検察官
신경단위	ニューロン,神経細胞
일본 옷	和服,きもの,着物
벌을 주다	懲罰する,ばっする,制裁する
강박 관념	妄想
12궁도	黄道帯
바가지 긁는 여자	カタマラン
광물학	鉱物学
자기 디스크	ディスク
거듭되는 불행	イリアス
세일즈맨	店員
고소인	原告
고소의	批難,非難
죄에 해당하는	有罪い
태산목	モクレン
걸출한	顕著
구름같은	くもり,(kumori)
국내법	大陸法,民法
중추 신경계	中枢神経系
분음기호	分音符号
테니스	テニス
견인차	トラクター
경합하다	競争する,争う,張り合う
논리학	1. 論理学 2. 論理学 3. 論理学 4. 論理学 5. 論理学
논리합	1. 論理和 2. 論理和
낭패의	恐怖
설명 자막	字幕
권계면	対流圏界面
참주정치	スターリニズム,独裁政治,幕府,bakufu,独裁
교도소	1. 拘置所,監禁所 2. けいむしょ,ペナルティーキック,かんごく,刑務所,監獄,ダンジョン 3. けいむしょ,かんごく,刑務所,監獄
티그리스 강	チグリス川
예의 바름	順当,正則
살쾡이의 일종	サーバル
유비쿼터스	ユビキタス
계수형인	デジタル
네온등	ネオン
포스터모더니즘	ポストモダン
버스 터미널	バスステーション
아지랑이	蒸気,湯気,気体
요르단 왕국	ヨルダン川,ヨルダン
말수적음	無口
시코쿠	四国
마닐라	マニラ
명상적인	反射的な
만년필	1. 万年筆 2. ボールペン 3. 羽根ペン
템스 강	テムズ,テムズ川
맛나는	美味しい,おいしい
계집애	少女,女の子
프라세오디뮴	プラセオジム
소나타 형식	ソナタ形式
시키다	笑う,笑い飛ばす,一笑に付す
쓸데없는 참견	実用主義
생물발광	生物発光,生物ルミネセンス
놀랍게	すごく
어김없는	必至の,恒常的,避けがたい,常習,避けることのできない,必至,不可避
테레빈	テレビン油
뼈빠지게하다	働く
국가 해상 보안대	沿岸警備隊
고용인	従業員,雇員,使用人,勤務員
시타르	シタール
동종요법	ホメオパシー
부정관사	不定冠詞
흰 모자	トランペット,口琴
태양왕	太陽王
관계대명사	関係代名詞
고인돌	支石墓
치과의사	歯医者,歯科医
말고기	馬肉
괴이쩍은	ayashii,怪しい,怪しむような,疑いの,あやしい
털모자	シャコー帽
노련자	古兵
태양풍	太陽風
육욕을 자극하는	官能的な,肉感的な,豊満な
도플갱어	ドッペルゲンガー
포름알데히드	ホルムアルデヒド
건포도	乾葡萄,干葡萄
놀라운	igai na,いがいな,意外な
놀라움	1. 驚き 2. 驚き
나폴리	ナポリ県,ナポリ
경찰력	警察
상트 페테르부르크	サンクトペテルブルク
내국세 수입	情報検索
산림 관리	林業
빨 수 있는	洗濯できる
접두사를 붙이다	接頭辞
노력한	専門的な
투르크메니스탄	トルクメニスタン
마가린	マーガリン
국립 고등 학교	中学校
탐조등	サーチライト,sāchiraito
귀고리	イヤリング
마가목	ナナカマド
무자맥질하다	飛び込む,潜る
백년마다의	世俗の,世俗,非宗教的な,非宗教的,世俗的な
경찰서	警察署
이산화탄소	二酸化炭素
소형 저울	トレビュシェット
고가 철도	エル
여우원숭이	キツネザル
테르븀	テルビウム
골연증	骨粗鬆症
부분집합	部分集合
거품은	泡,あわ,あぶく
고유성	固有種
절대온도의	絶対,絶対な
유년 시대	子供時代
고의로	故意,故意に,わざと,意識的な,態と
경찰관	警察
숙청하다	大掃除する
12개월	太陽年,年
텔루륨	テルル
텔루르	テルル
샐러드의 일종	シーザーサラダ
신용할수 없는	驚異的な,インクレジブル,ありえない,飛躍しすぎている,信じられない
고유종	固有種
느릅나무	楡,ニレ
고의의	作為的な,意識的な
고유치	固有値
우쿨렐레	ウクレレ
노른자	卵黄
찌꺼기	廃棄物,廃物,ゴミ
경찰대	警察
부젓가락	火箸,パンばさみ
농담의	茶目な
군대의	軍事的な
시트론	1. シトロン 2. シトロン
공수병	狂犬病
경제학	経済学
구덩이	掘削,開削
개별적인	慎重
냉난방장치	クーラー,空調装置,エアコン,空調,冷房装置,空気調節,空気調和,家電製品,冷房
구도자	作曲者,sakkyokuka,さっきょくか,作曲家,さっきょくしゃ,sakkyokusha
호랑가시나무	セイヨウヒイラギ,モチノキ
평화적인	1. 平安な,安静な,平和な 2. 親切な
타자기	タイプライター,印字機
포복 절도하다	叫ぶ
악취가나는	くさい,臭い
살균하십시요	殺菌する
사후 강직	死後硬直
까렐리야	カレリア
사전편집	辞書編集,辞書学
부수적으로	ところで,ちなみに
공세의	積極的
탄원서	嘆願
얻어내다	誑す,丸め込む,強請る
북대서양의 군도	アゾレス諸島
기를 씀	必死
세인트피터즈버그	ペトログラード,サンクトペテルブルク,レニングラード,セントピーターズバーグ
타이어	1. タイヤ 2. タイヤ
베타입자	ベータ粒子,β粒子
타이완	中華民国,中國,台湾
동면하다	冬眠
분해한 상태	bunkai,分解
화재 경보	火災警報,火災警報機
룩셈부르크어	ルクセンブルク語
헤시오도스	ヘシオドス
일부 다처	一夫多妻
관세표	関税
비교적으로	比較的,比較的に
삶은 달걀 컵	卵立て,茹で玉子入れ,茹で卵立て
소아시아	しょうアジア,小アジア
리놀륨	リノリウム
마슈하드	マシュハド
타이중	台中
스페인어	スペイン語
메밀가루	蕎麦,ソバ
돈벌이가 되는것	金鉱
소형 어선	漁船
마그마	マグマ
미지근한	1. 中途半端な,気が進まない,冷めた,ぬるい,生暖かい,白けた 2. 冷めた,ぬるい,なまぬるい
우성 유전자	優性遺伝子
민족정신	きっぷ
등록하다	登録する
실질이 없는 물건	蒸気,湯気,気体
고양이	子猫
방수 외부	タープ
나트륨	ナトリウム
평온하게	静かに,安静に
태양년	太陽年
동시 발생	共時性
과거를 그리워함	かいきゅう,懐旧,郷愁,望郷,ノスタルジア,里心
제 3의	3次的な,3番目の
제 3자	外人,外国人
의식이 있는	知覚する,意識した,意識する,眠らずに
태양계	太陽系,taiyōkei
고안력	巧妙
구두점	句読点
리눅스	Linux,リナックス
엄청나게	凄く
태양력	太陽暦
천연자원	資源,自然資源,天然資源
구두의	口頭
고아원	孤児院
탄저열	炭疽症
말치레가 번드르한	ごますりの
할아버지	外祖父,祖父,そふ,お爺さん,おじいさん,sofu
덩굴월귤	クランベリー
최초의전도자	shito
공시상	共時性
노력가	働き者
털많은	毛深い
고압선	電線,電気コード
노래방	カラオケ
나팔꽃	朝立ち,朝顔
곱슬털	hen
유클리드 기하학	ユークリッド幾何学
전자공학	電子工学,でんき
경청하는	注意深い
호되게 해치우다	懲罰する,ばっする,制裁する
낭비가	使い手,浪費家,ろうひか,つかいて
마르다	わずかな
경청하다	聞く
극단적으로	無理に
개신교	プロテスタント
말라위	マラウィ,マラウイ
골든 게이트 브리지	ゴールデンゲートブリッジ
양모 중매인	ホッチキス
집약적 경영	含意
실독증	ディスレクシア,失読症
프랑크말	共通語,リングワ・フランカ,リンガフランカ
벨로루시아어	1. ベラルーシ語 2. ベラルーシ人,ベラルーシ語
다람쥐의 일종	シマリス
거래장	通帳
자포자기하여	緊急に
버킷 하나 가득	バケツ
말라야	マレーシア,Marēshia
어버이의	母方の,母性,父方の,父性
어버이임	母方の,母性,父方の,父性
파도 많은	ウエーブのかかった,くねくねした
홈그라운드	生息地,棲息地
오렌지의	オレンジ色
대립형질	対立遺伝子,アレル
시드니	Shidonī,シドニー
가연성	可燃性
슬리퍼	スリッパ
나무 벽돌	木版画
앞쪽의 방	茶の間,ima,居間,いま,リビング
쇠귀나무속의 식물	矢じり,慈姑
마라톤	1. マラソン 2. マラソン
표면 장력	表面張力
리무진	リムジン
비평하다	批評する
사방 육면체	菱形,斜方形
~을  할만하다	値する
카리스마적 권위	教祖的指導力
참기름	ごま油
부동산관리인	不動産屋
콘스탄티누스 대제	コンスタンティノス
톈진 시	天津,天津市
큰인기	政変
전자기학	1. 電磁気学 2. 電磁気学
램프의 갓	ランプシェード
마리아	マリア,メアリー,マリー
전자기파	denjiha,電磁波,でんじは
끝없이	幾久しく,eikyūni,ikuhisashiku,永久,永久に,永遠
리버풀	リバプール
강수량	雨,降水,降水量
갈라디아 서	ガラテヤ人への手紙
자연의 힘으로	勿論,もちろん,当然
긁어부스럼	ブーメラン
도깨비시장	市場,蚤の市,古物市,フリーマーケット
힌두교의 도사	グル,教祖
리볼버	リボルバー,六連発
날개형부대	浮き輪
심박급진	頻脈
교원 휴게실	居間,リビング
감시인	所長,看守
전자기의	電磁,電磁気の
경기병	ユサール
코카서스	カフカース
슬로바키아어	1. スロバキア語,スロヴァキア語 2. スロヴァキア語
진핵생물	真核生物
계관식	鶏冠石
스모그	煙霧,スモッグ
채가다	誘拐する
맹도견	盲導犬
외바퀴 자전거	一輪車
두뇌집단	シンクタンク
작은 꽃다발	ブーケ
3목 놓기	三目並べ
결정적 단계	境目,不景気
관념 형태	イデオロギー
타밀어	タミル語,タミール語
기적적인	驚くべき,素晴しい
말많은	おしゃべり好きな
강생이	子犬
경구개	硬口蓋
리비아	リビア
개새끼	くそったれ
이심전심현상	いしんでんしん,テレパシー
자명종 소리	警報
기다리다	まつ,予想する,望む,期待する,待つ,予期する
신경성 식욕 부진	神経性無食欲症
일어나다	起きる
꼼꼼하게	心地よく
속기 쉬운 사람	犠牲,生け贄
무역상인	商人,shōnin,しょうにん
타박상	打撲傷
동중국해	東シナ海
프러시아	プロイセン
영양에 관한	栄養素
잘 주무세요	おやすみなさい
절대필요성	一切
큰 굴뚝	煙突
검둥이	ニガー,黒いやつ
라트비아어	ラトビア語
귀찮은 사람	雀蜂,スズメバチ,モンスズメバチ
리비도	性衝動,リビドー
내몽고	内モンゴル,内蒙古
감식가	目利き,鑑識家,鑑定家
공보활동	パブリック・リレーションズ,PR,ピー・アール
적요하다	短縮する,縮む,略す,省略する
네덜란드령 안틸레스	オランダ領アンティル
가철한 책	小冊子
수출품	ゆしゅつ,輸出品,輸出,yushutsu
공중 변소	かわや,手洗い,べんじょ,厠,便所,休憩所,化粧室,憚り,トイレ
전기 공학	電気工学
쉐이쉘	1. セイシェル 2. セーシェル,セイシェル
작업능률연구	人間工学,エルゴノミクス
스코틀랜드 사람	スコットランド人
코삭 사람	コサック
쌍날의 큰 칼	クレイモア
전기 기타	エレキギター,エレクトリックギター
결과의	結果と
의심스러운	1. 疑わしい 2. 疑わしい
가슴뼈	胸骨
손씻는 예식	洗面器
금속 원소의 하나	パラジウム
헤모글로빈	ヘモグロビン,血液色素,血色素
르완다	ルワンダ
그 해만의	毎年,毎年の
플란데런	フランドル,フランダース,フランデレン地域,フランドル・フランセーズ,フランデレン州
졸며시간을 보내다	居眠り,いねむり
복지 국가	福祉国家
호리병박	瓢箪
감속도	減速
암모니아	anmonia
사라토프	サラトフ
게다가	その上,しかも,その上に,尚且つ,さらに,katsu
그만두다	終える,終了する
신디어	シンディー語
연쇄 반응	連鎖反応
육식 공룡의 하나	ティラノサウルス
갑상선	甲状腺機能低下症
간수장	所長,看守
공중 부양	空中浮遊,空中浮揚
순찰차	パトロールカー,パトカー
견갑골의	肩胛骨,肩甲骨
포클랜드 군도	フォークランド諸島
그린란드	グリーンランド
결국은	やっと,ついに,結局,最終的に,とうとう
세제곱근	立方根
세계 대전	1. 世界大戦 2. 第１次世界大戦,第一次世界大戦
정찰활동	偵察,ボーイスカウト
수척한	やつれた
때묻히다	脂肪
키부츠	キブツ
아주 맞았어	絶対に
스펙트럼	分光特性,スペクトル
이리가 된 사람	狼男
암호로 바꾸다	暗号化する
그레이프프루츠	グレープフルーツ
말다툼	ナラタケ
테네시	テネシー,テネシー州
상상할 수 없는	問題外,信じられない,問題にならない
노동 인구	人力,じんざい,人々,人材
고귀한	正直な
여기서 부터	従って,ですから
케이프타운	ケープタウン
저항 장치	抵抗器
시체애호가	死体愛好症
직4각형	長方形,ちょうほうけい
이기주의	自惚,己惚
책꽃이	本棚
쉬운일	asameshimae,朝飯前
한 지방	田舎,田園
매년의	毎年,毎年の
공간의	空間的
믿기어려운	不可能
그리수도 수난상	十字架像
활용하다	上達する,上達させる,改善,良くなる,改善する
거미줄	くもの巣,蜘蛛の巣,クモの網
파충류학	爬虫両棲類学,爬虫類学
가지색	なす,茄子,nasubi,nasu,ナス,なすび
불가결성	一切
갈증난	喉が乾いた
강자성	強磁性
감정업	目利き,鑑識家,鑑定家
자본주의	資本主義
탬버린	タンブリン,タンバリン
강인성	忍耐,堅持
겁먹은	パニック状態
글로벌화	グローバライゼーション,グローバリゼーション,グローバル化
트롬본 취주자	トロンボーン
우연적인	偶然的な
거부권	拒否権
참나무	1. かしわ,柏,オーク 2. オーク材
룩셈부르크	1. ルクセンブルグ,ルクセンブルク 2. ルクセンブルグ,ルクセンブルク
탄산수	ミネラルウォーター
남부 독일의 지방	ザクセン
유약칠하는 직공	ガラス工
재수 좋은 사람	運のよい,幸運,運の良い,ラッキー
굴 파기	掘削,開削
동맹 파업	ストライキ
인간 생태학	人口学,人口統計学
익살맞은	剽軽,hyōkin）
소근거림	こごえ,私語,小声
구과 식물	針葉樹
이기적인	自分本位の,利己的な,わがままな,身勝手な,勝手な
기생충 감염증	寄生生物
부조리한	不調和な
세레나데	1. セレナーデ 2. セレナーデ
간접의	中古
식충동물	食虫動物
그루지야	グルジア,ジョージア
루테늄	ルテニウム,ルウニウム
거꾸로 할 수없는	不可逆な
전임강사	教師
압제적인	独裁的な
여자친구	姉妹
가죽신	サンダル,草鞋
실뜨기	あやとり
자리에 앉히다	実装する,導入,インストール,インストールする,導入する
매너티	マナティー,マナティ
갑자기	突如,急に,突然,突然に
찻숫가락으로 하나	ティースプーン,小さじ
강우량	雨,降水,降水量
고은 무명	タミル・ナードゥ州,タミル・ナードゥ
넓적다리	腿,股,太股
땋은 머리	hen
서양 담쟁이 덩굴	kizuta,蔦,ツタ,キヅタ
불평을 말하다	叱る,しかる
간종양	かんがん
차주채무자	借方,債務者
참깨씨	胡麻,ゴマ
실리카	ケイ素二酸化物
매달의	月次,毎月
라이브러리	1. 図書館,ライブラリ 2. 図書館
실리콘	ケイ素,珪素,シリコン
큰짐승	巨人
yeoji	茘枝,レイシ,ライチ
1학기	四半期
